date,instrument,maturity,observation,value,currency
2021-01-04T00:00:00.000Z,CBOT.ZS,F2021,High,1349.75,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,F2021,Low,1306.25,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,F2021,Settle,1316.5,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,H2021,High,1349.5,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,H2021,Low,1301,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,H2021,Settle,1313,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,K2021,High,1345.75,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,K2021,Low,1298.75,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,K2021,Settle,1311.25,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,N2021,High,1336.5,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,N2021,Low,1291,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,N2021,Settle,1303.75,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,Q2021,High,1297,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,Q2021,Low,1254.25,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,Q2021,Settle,1265,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,U2021,High,1199,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,U2021,Low,1162,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,U2021,Settle,1171.75,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,X2021,High,1147,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,X2021,Low,1111.75,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,X2021,Settle,1120.75,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,F2022,High,1142.25,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,F2022,Low,1110,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,F2022,Settle,1117.75,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,H2022,High,1117.75,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,H2022,Low,1090,USD
2021-01-04T00:00:00.000Z,CBOT.ZS,H2022,Settle,1096.75,USD
